telapsed,xreal,yreal,zreal,x,y,z,col,row,power,err_power,power_home,err_power_home
1.0,-0.2004417119090872,-0.19996444280581888,0.1399982480438252,-0.2,-0.2,0.0,0.0,0.0,-9.999999999999998e-12,4.171428042608757e-28,0.0,0.0
1.0,-0.10034169746164703,-0.20021917999590244,0.13974569512377844,-0.1,-0.2,0.0,1.0,0.0,-3.75e-12,1.2103072956898177e-12,0.0,0.0
1.0,-0.0004699284297497025,-0.2004514710879703,0.13969198279230888,0.0,-0.2,0.0,2.0,0.0,-8.125e-12,9.757809372497496e-13,0.0,0.0
1.0,0.09961169580558425,-0.2004352635427119,0.13961493220985405,0.10000000000000003,-0.2,0.0,3.0,0.0,-9.375e-12,6.051536478449088e-13,0.0,0.0
1.0,0.1994990033290156,-0.20080199706356067,0.1394099188392946,0.2,-0.2,0.0,4.0,0.0,-8.749999999999999e-12,8.267972847076845e-13,0.0,0.0
1.0,-0.20038259441517148,-0.1000912093653818,0.14004958873934026,-0.2,-0.1,0.0,0.0,1.0,-1e-11,0.0,0.0,0.0
1.0,-0.10023437018539451,-0.10002976053099549,0.13991846825975945,-0.1,-0.1,0.0,1.0,1.0,-1e-11,0.0,0.0,0.0
1.0,-0.0003082223236397369,-0.10027187026432743,0.1398125110304887,0.0,-0.1,0.0,2.0,1.0,-1e-11,0.0,0.0,0.0
1.0,0.09976992554387785,-0.10041692846583833,0.1397076080365905,0.10000000000000003,-0.1,0.0,3.0,1.0,-8.125e-12,9.757809372497496e-13,0.0,0.0
1.0,0.1996078634224071,-0.10072004428598491,0.13945630413349397,0.2,-0.1,0.0,4.0,1.0,-6.25e-13,6.051536478449089e-13,0.0,0.0
1.0,-0.20024658755706054,2.1847372745464888e-05,0.14016840538911174,-0.2,0.0,0.0,0.0,2.0,3.0200000000000003e-09,5.65685424949238e-12,0.0,0.0
1.0,-0.10010081358605115,-0.0001710124701114757,0.13989367142213133,-0.1,0.0,0.0,1.0,2.0,3.884375e-09,1.2401959270614968e-12,0.0,0.0
1.0,-0.0001663252059894288,-0.00023464122273952892,0.13982417181528206,0.0,0.0,0.0,2.0,2.0,4.71e-09,0.0,0.0,0.0
1.0,0.09978779769651396,-0.0003634862932285765,0.13981484464937916,0.10000000000000003,0.0,0.0,3.0,2.0,5.416250000000001e-09,1.2103072956897886e-12,0.0,0.0
1.0,0.19973445102001902,-0.0005453699297214842,0.1395476784142619,0.2,0.0,0.0,4.0,2.0,6.03e-09,0.0,0.0,0.0
1.0,-0.2001052041739486,0.10005988047948644,0.14007877527023882,-0.2,0.10000000000000003,0.0,0.0,3.0,3.2312499999999996e-09,8.267972847076988e-13,0.0,0.0
1.0,-0.09998383049651445,0.09999393311708171,0.13999563166817952,-0.1,0.10000000000000003,0.0,1.0,3.0,4.075e-09,1.2499999999999698e-12,0.0,0.0
1.0,-3.7206021008956425e-06,0.09977565428447821,0.13981060281749275,0.0,0.10000000000000003,0.0,2.0,3.0,4.908749999999999e-09,8.267972847076646e-13,0.0,0.0
1.0,0.09993223286850049,0.09972769640019485,0.1398519732369829,0.10000000000000003,0.10000000000000003,0.0,3.0,3.0,5.598749999999999e-09,8.267972847076646e-13,0.0,0.0
1.0,0.1997598191940373,0.09966138813339132,0.13965094631868014,0.2,0.10000000000000003,0.0,4.0,3.0,6.16e-09,0.0,0.0,0.0
1.0,-0.19997147286617997,0.20015030202058426,0.14025232698335716,-0.2,0.2,0.0,0.0,4.0,3.31125e-09,8.267972847076988e-13,0.0,0.0
1.0,-0.09983707135354493,0.2000251956222049,0.14011778510667344,-0.1,0.2,0.0,1.0,4.0,4.170666666666668e-09,6.44061188719515e-13,0.0,0.0
1.0,8.557677490521332e-05,0.19982474837323805,0.13995088312243614,0.0,0.2,0.0,2.0,4.0,4.99e-09,0.0,0.0,0.0
1.0,0.10006383353528968,0.19971204333971282,0.13985773860909068,0.10000000000000003,0.2,0.0,3.0,4.0,5.64e-09,0.0,0.0,0.0
1.0,0.2000506426448892,0.19949373560656336,0.13959367945651263,0.2,0.2,0.0,4.0,4.0,6.15e-09,0.0,0.0,0.0
