# Time (s)	Meas (W)
1668683754.9361222	1.368e-08
1668683755.0021658	1.367e-08
1668683755.0691981	1.367e-08
1668683755.1361449	1.366e-08
1668683755.2022707	1.366e-08
1668683755.2692168	1.366e-08
1668683755.336218	1.366e-08
1668683755.4022524	1.365e-08
1668683755.4692526	1.365e-08
1668683755.5362608	1.365e-08
1668683755.6022797	1.365e-08
1668683755.6692429	1.365e-08
1668683755.7361565	1.365e-08
1668683755.8022814	1.365e-08
1668683755.869261	1.365e-08
1668683755.9361465	1.365e-08
1668683756.002221	1.365e-08
1668683756.0692782	1.365e-08
1668683756.1352057	1.365e-08
1668683756.202212	1.365e-08
1668683756.2692075	1.365e-08
1668683756.3351517	1.365e-08
1668683756.402183	1.365e-08
1668683756.4691608	1.365e-08
1668683756.5351582	1.365e-08
1668683756.6021519	1.365e-08
1668683756.6691902	1.365e-08
1668683756.7352219	1.365e-08
1668683756.8021877	1.365e-08
1668683756.8692534	1.365e-08
1668683756.9352665	1.365e-08
1668683757.0021873	1.365e-08
1668683757.069248	1.365e-08
1668683757.1351514	1.365e-08
1668683757.2022712	1.365e-08
1668683757.26911	1.365e-08
1668683757.335252	1.365e-08
1668683757.4021535	1.365e-08
1668683757.4691918	1.365e-08
1668683757.5352511	1.365e-08
1668683757.6022606	1.365e-08
1668683757.6682706	1.365e-08
1668683757.7352881	1.364e-08
1668683757.8021572	1.364e-08
1668683757.8683195	1.364e-08
1668683757.9351356	1.364e-08
