# Time (s)	Meas (W)
1668683903.6385074	9.47e-09
1668683903.705539	9.47e-09
1668683903.771483	9.47e-09
1668683903.8384874	9.47e-09
1668683903.9044836	9.46e-09
1668683903.9714947	9.46e-09
1668683904.038481	9.46e-09
1668683904.104504	9.46e-09
1668683904.1715019	9.46e-09
1668683904.2384992	9.46e-09
1668683904.3045216	9.46e-09
1668683904.3714874	9.46e-09
1668683904.4384875	9.46e-09
1668683904.5045137	9.46e-09
1668683904.5715108	9.45e-09
1668683904.6384814	9.45e-09
1668683904.7045174	9.46e-09
1668683904.7715101	9.46e-09
1668683904.8384957	9.46e-09
1668683904.9045227	9.46e-09
1668683904.9715042	9.46e-09
1668683905.0385	9.46e-09
1668683905.1044953	9.46e-09
1668683905.1715145	9.46e-09
1668683905.2385163	9.46e-09
1668683905.3045151	9.46e-09
1668683905.3715181	9.46e-09
1668683905.4374433	9.46e-09
1668683905.5045302	9.46e-09
1668683905.5715075	9.46e-09
1668683905.637486	9.46e-09
1668683905.7045248	9.46e-09
1668683905.7715285	9.45e-09
1668683905.8374884	9.45e-09
1668683905.9045148	9.45e-09
1668683905.9715145	9.46e-09
1668683906.0375001	9.45e-09
1668683906.1045017	9.45e-09
1668683906.171454	9.45e-09
1668683906.2374594	9.45e-09
1668683906.304514	9.45e-09
1668683906.3714614	9.45e-09
1668683906.4374495	9.45e-09
1668683906.5044582	9.45e-09
1668683906.571522	9.46e-09
1668683906.637496	9.46e-09
