# Time (s)	Meas (W)
1668683857.9393659	1.356e-08
1668683857.9814267	1.356e-08
1668683858.0474267	1.357e-08
1668683858.1144373	1.357e-08
1668683858.1814485	1.357e-08
1668683858.247432	1.357e-08
1668683858.3144038	1.357e-08
1668683858.3814237	1.357e-08
1668683858.4474344	1.357e-08
1668683858.5144398	1.357e-08
1668683858.5814152	1.357e-08
1668683858.6474357	1.357e-08
1668683858.714442	1.357e-08
1668683858.7814155	1.357e-08
1668683858.8474243	1.357e-08
1668683858.9144368	1.357e-08
1668683858.9814436	1.357e-08
1668683859.0474699	1.357e-08
1668683859.1144571	1.357e-08
1668683859.1814198	1.357e-08
1668683859.2474306	1.357e-08
1668683859.3144174	1.357e-08
1668683859.3804247	1.357e-08
1668683859.4474084	1.357e-08
1668683859.514471	1.357e-08
1668683859.5804725	1.357e-08
1668683859.6474404	1.357e-08
1668683859.7143888	1.357e-08
1668683859.780416	1.357e-08
1668683859.8474576	1.357e-08
1668683859.9143765	1.357e-08
1668683859.9804275	1.357e-08
1668683860.0474403	1.357e-08
1668683860.1144717	1.357e-08
1668683860.1803973	1.357e-08
1668683860.2474709	1.357e-08
1668683860.3144648	1.357e-08
1668683860.380424	1.357e-08
1668683860.4474459	1.357e-08
1668683860.5144358	1.357e-08
1668683860.5804086	1.357e-08
1668683860.6474233	1.357e-08
1668683860.714429	1.357e-08
1668683860.7804341	1.357e-08
1668683860.8474145	1.357e-08
1668683860.9134002	1.357e-08
