# Time (s)	Meas (W)
1668683798.5273445	1.178e-08
1668683798.5932944	1.178e-08
1668683798.6603496	1.177e-08
1668683798.7273452	1.177e-08
1668683798.7935095	1.177e-08
1668683798.860346	1.176e-08
1668683798.9263475	1.176e-08
1668683798.993353	1.176e-08
1668683799.060299	1.176e-08
1668683799.1263075	1.176e-08
1668683799.193349	1.176e-08
1668683799.2602477	1.176e-08
1668683799.326342	1.176e-08
1668683799.3933403	1.176e-08
1668683799.4603393	1.176e-08
1668683799.5263424	1.176e-08
1668683799.593341	1.176e-08
1668683799.660342	1.176e-08
1668683799.7263417	1.176e-08
1668683799.7933474	1.176e-08
1668683799.8603392	1.176e-08
1668683799.9263334	1.176e-08
1668683799.9933443	1.176e-08
1668683800.0602767	1.176e-08
1668683800.1263294	1.175e-08
1668683800.1933365	1.176e-08
1668683800.260319	1.176e-08
1668683800.326342	1.175e-08
1668683800.3933392	1.175e-08
1668683800.4593382	1.175e-08
1668683800.5263233	1.175e-08
1668683800.5933416	1.175e-08
1668683800.659353	1.175e-08
1668683800.726295	1.175e-08
1668683800.793343	1.175e-08
1668683800.8593495	1.175e-08
1668683800.9263046	1.175e-08
1668683800.9933436	1.175e-08
1668683801.0593479	1.175e-08
1668683801.1263309	1.175e-08
1668683801.1933413	1.175e-08
1668683801.2593288	1.175e-08
1668683801.3262992	1.175e-08
1668683801.3933444	1.175e-08
1668683801.4593363	1.175e-08
1668683801.5263019	1.175e-08
