# Time (s)	Meas (W)
1668683912.8055031	3.5e-09
1668683912.8365257	3.47e-09
1668683912.9035223	3.45e-09
1668683912.969506	3.43e-09
1668683913.0365252	3.41e-09
1668683913.1035373	3.4e-09
1668683913.1695406	3.39e-09
1668683913.236566	3.39e-09
1668683913.30254	3.38e-09
1668683913.3695047	3.37e-09
1668683913.436547	3.37e-09
1668683913.5025346	3.37e-09
1668683913.5695264	3.37e-09
1668683913.6365235	3.37e-09
1668683913.702506	3.37e-09
1668683913.7695224	3.37e-09
1668683913.8365247	3.36e-09
1668683913.9025142	3.36e-09
1668683913.9695277	3.36e-09
1668683914.036523	3.36e-09
1668683914.102514	3.36e-09
1668683914.169557	3.36e-09
1668683914.2365587	3.36e-09
1668683914.3024976	3.36e-09
1668683914.3694994	3.36e-09
1668683914.43655	3.36e-09
1668683914.502516	3.36e-09
1668683914.5695457	3.36e-09
1668683914.6365376	3.36e-09
1668683914.702518	3.36e-09
1668683914.7695317	3.36e-09
1668683914.8365123	3.36e-09
1668683914.9025152	3.36e-09
1668683914.969532	3.36e-09
1668683915.0355268	3.36e-09
1668683915.1025186	3.36e-09
1668683915.1695154	3.36e-09
1668683915.2355385	3.36e-09
1668683915.302537	3.36e-09
1668683915.3695235	3.36e-09
1668683915.4355252	3.36e-09
1668683915.5025258	3.36e-09
1668683915.5695267	3.36e-09
1668683915.6355147	3.36e-09
1668683915.702544	3.36e-09
1668683915.7695296	3.36e-09
