# Time (s)	Meas (W)
1668683865.9534152	1.373e-08
1668683865.9793546	1.373e-08
1668683866.046436	1.373e-08
1668683866.1124427	1.373e-08
1668683866.1794426	1.373e-08
1668683866.246439	1.373e-08
1668683866.312437	1.373e-08
1668683866.37949	1.373e-08
1668683866.4464798	1.373e-08
1668683866.512453	1.373e-08
1668683866.5794444	1.373e-08
1668683866.646432	1.373e-08
1668683866.7124357	1.373e-08
1668683866.7794483	1.373e-08
1668683866.8464239	1.373e-08
1668683866.9124444	1.373e-08
1668683866.9794688	1.373e-08
1668683867.0464468	1.373e-08
1668683867.1124527	1.373e-08
1668683867.1794505	1.373e-08
1668683867.2454195	1.373e-08
1668683867.3124409	1.373e-08
1668683867.3794355	1.373e-08
1668683867.4454398	1.373e-08
1668683867.5124512	1.373e-08
1668683867.5794673	1.373e-08
1668683867.645511	1.373e-08
1668683867.7124684	1.373e-08
1668683867.7794669	1.373e-08
1668683867.8454688	1.373e-08
1668683867.9124572	1.373e-08
1668683867.9794369	1.373e-08
1668683868.0453951	1.373e-08
1668683868.1124518	1.373e-08
1668683868.1794417	1.373e-08
1668683868.245406	1.373e-08
1668683868.3124747	1.373e-08
1668683868.3793976	1.373e-08
1668683868.4454522	1.373e-08
1668683868.512448	1.373e-08
1668683868.5794392	1.373e-08
1668683868.645434	1.373e-08
1668683868.7124484	1.373e-08
1668683868.778438	1.373e-08
1668683868.8454142	1.373e-08
1668683868.9124305	1.373e-08
