# Time (s)	Meas (W)
1668683765.667193	1.466e-08
1668683765.7332916	1.465e-08
1668683765.8003047	1.465e-08
1668683765.8672912	1.465e-08
1668683765.933291	1.464e-08
1668683766.0002959	1.464e-08
1668683766.0672781	1.464e-08
1668683766.1332848	1.464e-08
1668683766.2002764	1.464e-08
1668683766.267284	1.464e-08
1668683766.3332877	1.464e-08
1668683766.4003038	1.464e-08
1668683766.4672816	1.464e-08
1668683766.5332842	1.464e-08
1668683766.6002903	1.464e-08
1668683766.6672971	1.464e-08
1668683766.733293	1.464e-08
1668683766.8002963	1.464e-08
1668683766.867293	1.464e-08
1668683766.9333513	1.464e-08
1668683767.0003157	1.464e-08
1668683767.0671892	1.464e-08
1668683767.1331978	1.464e-08
1668683767.2002869	1.464e-08
1668683767.2662091	1.464e-08
1668683767.3332906	1.464e-08
1668683767.4003084	1.464e-08
1668683767.4663103	1.464e-08
1668683767.5332816	1.464e-08
1668683767.600287	1.463e-08
1668683767.6662853	1.463e-08
1668683767.7332814	1.464e-08
1668683767.8002837	1.463e-08
1668683767.8662634	1.463e-08
1668683767.9332874	1.463e-08
1668683768.000292	1.463e-08
1668683768.0662918	1.463e-08
1668683768.1332812	1.464e-08
1668683768.2002773	1.464e-08
1668683768.2662742	1.464e-08
1668683768.333285	1.463e-08
1668683768.400278	1.463e-08
1668683768.4662786	1.463e-08
1668683768.533272	1.463e-08
1668683768.6002805	1.463e-08
1668683768.666288	1.463e-08
