# Time (s)	Meas (W)
1668683931.7095227	2.97e-09
1668683931.76556	2.97e-09
1668683931.8325188	2.96e-09
1668683931.8995655	2.96e-09
1668683931.9655669	2.96e-09
1668683932.03254	2.96e-09
1668683932.0995564	2.96e-09
1668683932.1655445	2.96e-09
1668683932.232556	2.96e-09
1668683932.2995746	2.96e-09
1668683932.3655634	2.96e-09
1668683932.4325466	2.96e-09
1668683932.4986553	2.96e-09
1668683932.5655591	2.96e-09
1668683932.6325512	2.96e-09
1668683932.6985598	2.96e-09
1668683932.7656064	2.96e-09
1668683932.8325906	2.96e-09
1668683932.8985906	2.96e-09
1668683932.9655383	2.96e-09
1668683933.0325623	2.96e-09
1668683933.0985496	2.96e-09
1668683933.1655362	2.96e-09
1668683933.2325666	2.96e-09
1668683933.298551	2.96e-09
1668683933.3655722	2.96e-09
1668683933.432562	2.96e-09
1668683933.49856	2.96e-09
1668683933.5655413	2.96e-09
1668683933.6325474	2.96e-09
1668683933.6985648	2.96e-09
1668683933.7655382	2.96e-09
1668683933.8325708	2.96e-09
1668683933.8985732	2.96e-09
1668683933.9655683	2.96e-09
1668683934.0315847	2.96e-09
1668683934.0985897	2.96e-09
1668683934.165563	2.96e-09
1668683934.2315571	2.96e-09
1668683934.2985537	2.96e-09
1668683934.3655365	2.96e-09
1668683934.431531	2.96e-09
1668683934.4985592	2.96e-09
1668683934.565557	2.96e-09
1668683934.631573	2.96e-09
1668683934.6985862	2.96e-09
