# Time (s)	Meas (W)
1668683808.9543478	1.496e-08
1668683808.9913516	1.496e-08
1668683809.0582871	1.496e-08
1668683809.1243625	1.496e-08
1668683809.191308	1.496e-08
1668683809.2583826	1.496e-08
1668683809.3243628	1.496e-08
1668683809.3913212	1.496e-08
1668683809.4583576	1.495e-08
1668683809.5243483	1.495e-08
1668683809.5913103	1.495e-08
1668683809.6583571	1.495e-08
1668683809.724358	1.495e-08
1668683809.7913396	1.495e-08
1668683809.858358	1.495e-08
1668683809.924356	1.495e-08
1668683809.9913175	1.495e-08
1668683810.0573483	1.495e-08
1668683810.124352	1.495e-08
1668683810.191325	1.495e-08
1668683810.2573502	1.495e-08
1668683810.3243544	1.495e-08
1668683810.3913448	1.495e-08
1668683810.4573696	1.495e-08
1668683810.524349	1.495e-08
1668683810.5912964	1.495e-08
1668683810.6573505	1.495e-08
1668683810.7243702	1.495e-08
1668683810.7913268	1.495e-08
1668683810.857377	1.495e-08
1668683810.9243705	1.495e-08
1668683810.9913423	1.496e-08
1668683811.0573776	1.495e-08
1668683811.1243663	1.495e-08
1668683811.191352	1.496e-08
1668683811.2573764	1.495e-08
1668683811.3242369	1.495e-08
1668683811.3912122	1.495e-08
1668683811.4572322	1.495e-08
1668683811.524243	1.495e-08
1668683811.5902023	1.495e-08
1668683811.657241	1.495e-08
1668683811.7243545	1.495e-08
1668683811.79036	1.495e-08
1668683811.857361	1.495e-08
1668683811.9243598	1.495e-08
