# Time (s)	Meas (W)
1668683837.3993824	3.93e-09
1668683837.4524262	3.91e-09
1668683837.518404	3.87e-09
1668683837.5854032	3.86e-09
1668683837.6524076	3.85e-09
1668683837.7184513	3.84e-09
1668683837.785299	3.84e-09
1668683837.8524048	3.83e-09
1668683837.9183984	3.83e-09
1668683837.9853902	3.83e-09
1668683838.0524101	3.83e-09
1668683838.1183708	3.82e-09
1668683838.1854107	3.82e-09
1668683838.2524076	3.82e-09
1668683838.3183937	3.82e-09
1668683838.3853607	3.82e-09
1668683838.4524252	3.82e-09
1668683838.5183356	3.82e-09
1668683838.5854073	3.82e-09
1668683838.6513307	3.82e-09
1668683838.7183926	3.82e-09
1668683838.7854111	3.82e-09
1668683838.8514261	3.82e-09
1668683838.9184306	3.82e-09
1668683838.9854136	3.82e-09
1668683839.0513966	3.82e-09
1668683839.1183076	3.82e-09
1668683839.185455	3.82e-09
1668683839.2513056	3.82e-09
1668683839.3183138	3.82e-09
1668683839.3853257	3.82e-09
1668683839.451319	3.82e-09
1668683839.5182896	3.82e-09
1668683839.5853724	3.82e-09
1668683839.6514254	3.82e-09
1668683839.7184095	3.82e-09
1668683839.7854037	3.82e-09
1668683839.851411	3.82e-09
1668683839.9183838	3.82e-09
1668683839.9854195	3.82e-09
1668683840.0514176	3.82e-09
1668683840.118408	3.82e-09
1668683840.1853268	3.82e-09
1668683840.2515223	3.82e-09
1668683840.3183203	3.82e-09
