# Time (s)	Meas (W)
1668683942.3855088	1.3e-09
1668683942.4305854	1.29e-09
1668683942.4965937	1.29e-09
1668683942.5635912	1.29e-09
1668683942.6305978	1.28e-09
1668683942.6965861	1.28e-09
1668683942.7635765	1.28e-09
1668683942.830564	1.28e-09
1668683942.8965862	1.28e-09
1668683942.963582	1.28e-09
1668683943.0305583	1.28e-09
1668683943.0965877	1.28e-09
1668683943.163572	1.28e-09
1668683943.2305608	1.28e-09
1668683943.2965875	1.28e-09
1668683943.363585	1.28e-09
1668683943.430568	1.28e-09
1668683943.496588	1.28e-09
1668683943.563586	1.28e-09
1668683943.6295664	1.28e-09
1668683943.6965764	1.28e-09
1668683943.7635803	1.28e-09
1668683943.8295627	1.28e-09
1668683943.8965938	1.28e-09
1668683943.9635901	1.28e-09
1668683944.0295718	1.28e-09
1668683944.096593	1.28e-09
1668683944.16359	1.28e-09
1668683944.229563	1.28e-09
1668683944.296586	1.28e-09
1668683944.36359	1.28e-09
1668683944.4295752	1.28e-09
1668683944.4966385	1.28e-09
1668683944.56356	1.28e-09
1668683944.629628	1.28e-09
1668683944.6965659	1.28e-09
1668683944.7636304	1.28e-09
1668683944.8296156	1.28e-09
1668683944.8966138	1.28e-09
1668683944.963502	1.27e-09
1668683945.0295575	1.28e-09
1668683945.0965514	1.28e-09
1668683945.1625462	1.28e-09
1668683945.2295804	1.28e-09
1668683945.2965858	1.28e-09
1668683945.3625908	1.28e-09
