# Time (s)	Meas (W)
1668683744.150186	1.119e-08
1668683744.2051098	1.119e-08
1668683744.2712164	1.118e-08
1668683744.338249	1.118e-08
1668683744.405287	1.118e-08
1668683744.4711926	1.117e-08
1668683744.5382192	1.117e-08
1668683744.6052206	1.117e-08
1668683744.6711793	1.117e-08
1668683744.7382123	1.117e-08
1668683744.8052044	1.117e-08
1668683744.8711762	1.117e-08
1668683744.9382071	1.117e-08
1668683745.0042496	1.117e-08
1668683745.0712159	1.117e-08
1668683745.1382148	1.117e-08
1668683745.2041929	1.117e-08
1668683745.2712674	1.117e-08
1668683745.338261	1.117e-08
1668683745.4042456	1.117e-08
1668683745.4712183	1.117e-08
1668683745.53822	1.117e-08
1668683745.6042483	1.117e-08
1668683745.6712542	1.116e-08
1668683745.7382467	1.117e-08
1668683745.8041925	1.117e-08
1668683745.8712642	1.117e-08
1668683745.9382195	1.116e-08
1668683746.0042222	1.116e-08
1668683746.0712512	1.116e-08
1668683746.1382163	1.116e-08
1668683746.2042005	1.116e-08
1668683746.271172	1.117e-08
1668683746.338261	1.117e-08
1668683746.4041307	1.117e-08
1668683746.4711118	1.117e-08
1668683746.5371013	1.117e-08
1668683746.604103	1.117e-08
1668683746.6712449	1.117e-08
1668683746.7372599	1.117e-08
1668683746.8041244	1.117e-08
1668683746.8711119	1.117e-08
1668683746.9371543	1.117e-08
1668683747.004148	1.117e-08
1668683747.0711124	1.117e-08
1668683747.1371148	1.117e-08
