# Time (s)	Meas (W)
1668683776.531281	1.371e-08
1668683776.5983286	1.37e-08
1668683776.6652963	1.37e-08
1668683776.7313075	1.37e-08
1668683776.7983077	1.369e-08
1668683776.864303	1.369e-08
1668683776.9312887	1.369e-08
1668683776.9983	1.369e-08
1668683777.0643702	1.369e-08
1668683777.1312706	1.369e-08
1668683777.198309	1.369e-08
1668683777.2642803	1.369e-08
1668683777.3312516	1.369e-08
1668683777.3983142	1.369e-08
1668683777.4643037	1.369e-08
1668683777.5312626	1.369e-08
1668683777.5982978	1.369e-08
1668683777.6643353	1.369e-08
1668683777.7321806	1.369e-08
1668683777.7983053	1.369e-08
1668683777.8643064	1.369e-08
1668683777.9313126	1.368e-08
1668683777.998299	1.369e-08
1668683778.0642908	1.369e-08
1668683778.1312976	1.369e-08
1668683778.1983128	1.369e-08
1668683778.2642806	1.369e-08
1668683778.3313022	1.368e-08
1668683778.3972979	1.368e-08
1668683778.4642904	1.368e-08
1668683778.5313	1.368e-08
1668683778.5972977	1.368e-08
1668683778.664309	1.368e-08
1668683778.7313015	1.368e-08
1668683778.7972984	1.368e-08
1668683778.8643165	1.368e-08
1668683778.9313068	1.368e-08
1668683778.9973083	1.368e-08
1668683779.0642862	1.368e-08
1668683779.1313057	1.368e-08
1668683779.1973076	1.368e-08
1668683779.264313	1.368e-08
1668683779.3313088	1.368e-08
1668683779.397305	1.368e-08
1668683779.4642954	1.368e-08
1668683779.5313063	1.368e-08
