# Time (s)	Meas (W)
1668683827.542271	1.481e-08
1668683827.5873888	1.482e-08
1668683827.654388	1.482e-08
1668683827.7203484	1.482e-08
1668683827.78739	1.482e-08
1668683827.8543873	1.482e-08
1668683827.9203386	1.482e-08
1668683827.9873989	1.482e-08
1668683828.0544064	1.482e-08
1668683828.1205513	1.482e-08
1668683828.1873975	1.482e-08
1668683828.2543955	1.482e-08
1668683828.3203843	1.481e-08
1668683828.3873923	1.482e-08
1668683828.4543808	1.482e-08
1668683828.520371	1.482e-08
1668683828.587389	1.482e-08
1668683828.6543868	1.482e-08
1668683828.7204003	1.482e-08
1668683828.7873912	1.482e-08
1668683828.8543978	1.482e-08
1668683828.9203901	1.482e-08
1668683828.987387	1.482e-08
1668683829.0543916	1.482e-08
1668683829.1203802	1.482e-08
1668683829.1873908	1.482e-08
1668683829.2533867	1.482e-08
1668683829.3203676	1.482e-08
1668683829.387401	1.482e-08
1668683829.4533908	1.482e-08
1668683829.5203912	1.482e-08
1668683829.5874078	1.482e-08
1668683829.6533997	1.482e-08
1668683829.7203882	1.482e-08
1668683829.7873907	1.482e-08
1668683829.8533854	1.482e-08
1668683829.9202864	1.482e-08
1668683829.987263	1.482e-08
1668683830.0533812	1.482e-08
1668683830.1203933	1.482e-08
1668683830.1873844	1.482e-08
1668683830.2533808	1.482e-08
1668683830.3203769	1.482e-08
1668683830.3873768	1.482e-08
1668683830.4534156	1.482e-08
1668683830.520382	1.482e-08
