# Time (s)	Meas (W)
1668683974.257636	2.41e-09
1668683974.2906792	2.4e-09
1668683974.3566346	2.4e-09
1668683974.4236343	2.4e-09
1668683974.4905286	2.4e-09
1668683974.5566003	2.4e-09
1668683974.6236506	2.39e-09
1668683974.6906364	2.39e-09
1668683974.7566502	2.39e-09
1668683974.8236148	2.39e-09
1668683974.890615	2.39e-09
1668683974.9566298	2.39e-09
1668683975.023642	2.39e-09
1668683975.0906615	2.39e-09
1668683975.156675	2.39e-09
1668683975.2236607	2.39e-09
1668683975.289633	2.39e-09
1668683975.356635	2.39e-09
1668683975.4236426	2.39e-09
1668683975.4896371	2.39e-09
1668683975.5566547	2.39e-09
1668683975.6236773	2.39e-09
1668683975.6896584	2.39e-09
1668683975.7566261	2.39e-09
1668683975.82367	2.39e-09
1668683975.8896375	2.39e-09
1668683975.9566412	2.39e-09
1668683976.023643	2.39e-09
1668683976.0896463	2.39e-09
1668683976.156643	2.39e-09
1668683976.2236447	2.39e-09
1668683976.2897193	2.39e-09
1668683976.3566318	2.39e-09
1668683976.42363	2.39e-09
1668683976.4896498	2.39e-09
1668683976.5566804	2.39e-09
1668683976.6236806	2.39e-09
1668683976.6896877	2.39e-09
1668683976.7566378	2.39e-09
1668683976.8226473	2.39e-09
1668683976.8896456	2.39e-09
1668683976.9566848	2.39e-09
1668683977.0226486	2.39e-09
1668683977.0896182	2.39e-09
1668683977.1566367	2.39e-09
1668683977.2226458	2.39e-09
