# Time (s)	Meas (W)
1668683818.1223655	1.519e-08
1668683818.1892607	1.52e-08
1668683818.2562685	1.52e-08
1668683818.322265	1.52e-08
1668683818.3893032	1.52e-08
1668683818.4562492	1.52e-08
1668683818.5222638	1.52e-08
1668683818.58927	1.52e-08
1668683818.6562529	1.52e-08
1668683818.7222567	1.52e-08
1668683818.7893107	1.52e-08
1668683818.8562894	1.52e-08
1668683818.9222658	1.52e-08
1668683818.989264	1.52e-08
1668683819.0562587	1.52e-08
1668683819.122259	1.52e-08
1668683819.1893363	1.52e-08
1668683819.256248	1.52e-08
1668683819.322245	1.52e-08
1668683819.3892508	1.52e-08
1668683819.4562314	1.52e-08
1668683819.522245	1.52e-08
1668683819.5892556	1.52e-08
1668683819.655374	1.52e-08
1668683819.722377	1.52e-08
1668683819.7893596	1.52e-08
1668683819.8562412	1.52e-08
1668683819.9223745	1.52e-08
1668683819.9893641	1.52e-08
1668683820.0553472	1.52e-08
1668683820.1223571	1.52e-08
1668683820.1893504	1.52e-08
1668683820.255355	1.52e-08
1668683820.3223555	1.52e-08
1668683820.389374	1.52e-08
1668683820.4553785	1.52e-08
1668683820.5223784	1.52e-08
1668683820.5893667	1.52e-08
1668683820.6553845	1.52e-08
1668683820.722378	1.52e-08
1668683820.7893717	1.52e-08
1668683820.855401	1.52e-08
1668683820.9223766	1.52e-08
1668683820.9893425	1.52e-08
1668683821.055368	1.52e-08
1668683821.1223664	1.52e-08
