telapsed,xreal,yreal,zreal,x,y,z,col,row,power,err_power,power_home,err_power_home
3.0,-0.20045389336658037,-0.19996312101629804,0.1400780181045267,-0.2,-0.2,0.0,0.0,0.0,1.1170217391304348e-08,8.957540272807161e-13,0.0,0.0
3.0,-0.1003855375850151,-0.200231335619382,0.13973804777583487,-0.1,-0.2,0.0,1.0,0.0,1.3651521739130434e-08,1.0635475511727927e-12,0.0,0.0
3.0,-0.0004078578113194814,-0.200396918654907,0.13954008298827364,0.0,-0.2,0.0,2.0,0.0,1.463826086956522e-08,9.377782045227484e-13,0.0,0.0
3.0,0.09969653114089753,-0.20047327900416606,0.13939790825908138,0.10000000000000003,-0.2,0.0,3.0,0.0,1.3686739130434792e-08,1.022171408374792e-12,0.0,0.0
3.0,0.19952034964622933,-0.2008050077854422,0.13914870380768574,0.2,-0.2,0.0,4.0,0.0,3.114130434782609e-09,1.3602543044696355e-12,0.0,0.0
3.0,-0.20032323171299093,-0.10009997055262143,0.14013082284378342,-0.2,-0.1,0.0,0.0,1.0,1.1757173913043482e-08,1.136399126742499e-12,0.0,0.0
3.0,-0.10023982026568298,-0.10006149826827421,0.13986903746126855,-0.1,-0.1,0.0,1.0,1.0,1.4952173913043475e-08,6.081553097218285e-13,0.0,0.0
3.0,-0.0003157899098250039,-0.10026361368954395,0.13967864215946574,0.0,-0.1,0.0,2.0,1.0,1.519978260869565e-08,2.1501537175952612e-13,0.0,0.0
3.0,0.09980621477337447,-0.10044625761338133,0.13945865174521227,0.10000000000000003,-0.1,0.0,3.0,1.0,1.4819565217391299e-08,3.006800325252643e-13,0.0,0.0
3.0,0.19964253601569837,-0.10068702085762493,0.1392247336658986,0.2,-0.1,0.0,4.0,1.0,3.828888888888888e-09,3.358750829260654e-12,0.0,0.0
3.0,-0.20017589527108387,-3.579319565560901e-05,0.14019650996773592,-0.2,0.0,0.0,0.0,2.0,5.660217391304348e-09,4.220853917345083e-12,0.0,0.0
3.0,-0.10017481392473261,-0.00016597471973084366,0.13989009977549877,-0.1,0.0,0.0,1.0,2.0,1.3569565217391302e-08,3.006800325252643e-13,0.0,0.0
3.0,-0.00012276463624923128,-0.00022613721714953572,0.13970974562956817,0.0,0.0,0.0,2.0,2.0,1.3729999999999993e-08,9.756890208657957e-25,0.0,0.0
3.0,0.09992027721700943,-0.0003251885069908145,0.13960575041724954,0.10000000000000003,0.0,0.0,3.0,2.0,1.0743913043478263e-08,1.128688486845204e-12,0.0,0.0
3.0,0.19978398878450476,-0.0005168047217933847,0.1392332609537219,0.2,0.0,0.0,4.0,2.0,3.2565217391304356e-09,2.284520758261757e-12,0.0,0.0
3.0,-0.20008329112033513,0.10002330572887697,0.14013447437366028,-0.2,0.10000000000000003,0.0,0.0,3.0,1.9552173913043476e-09,1.6192115293631473e-12,0.0,0.0
3.0,-0.10000917575243518,0.0998962815284078,0.1399160958136838,-0.1,0.10000000000000003,0.0,1.0,3.0,9.458043478260871e-09,8.486375836219059e-13,0.0,0.0
3.0,2.8250514275934835e-05,0.09975566327397467,0.1396491537637629,0.0,0.10000000000000003,0.0,2.0,3.0,3.374130434782609e-09,4.4824388168008575e-12,0.0,0.0
3.0,0.09998033343046346,0.09972983338312902,0.13964745836896614,0.10000000000000003,0.10000000000000003,0.0,3.0,3.0,2.806086956521739e-09,1.9800102363058035e-12,0.0,0.0
3.0,0.1998450723987346,0.09955743034597486,0.1393124185380798,0.2,0.10000000000000003,0.0,4.0,3.0,2.960434782608695e-09,3.0068003252526437e-13,0.0,0.0
3.0,-0.19987543650506434,0.20010921725320552,0.14026003407583598,-0.2,0.2,0.0,0.0,4.0,1.2808695652173915e-09,6.013600650505486e-13,0.0,0.0
3.0,-0.09988080076870459,0.1999718307770808,0.14007347207278087,-0.1,0.2,0.0,1.0,4.0,1.591956521739131e-09,8.486375836219234e-13,0.0,0.0
3.0,0.00012914825861409795,0.19983536963126358,0.13983208719962936,0.0,0.2,0.0,2.0,4.0,2.128260869565218e-09,9.37778204522671e-13,0.0,0.0
3.0,0.10014128607172205,0.19967625116446264,0.13961297173728943,0.10000000000000003,0.2,0.0,3.0,4.0,2.3915217391304346e-09,6.123640472046681e-13,0.0,0.0
3.0,0.20002637321219752,0.19950978581622936,0.13933660107723944,0.2,0.2,0.0,4.0,4.0,2.67e-09,0.0,0.0,0.0
