# Robotarm 2D scan with the following settings:
# scan_size=0.2, 
# scan_step=0.02, 
# n_meas=10.0, 
# nudge=0.0 
time,n_meas,xreal,yreal,zreal,x,y,z,col,row,power,err_power
1669988538.8390248,10.0,-0.2003826023372055,-0.19965470931243318,0.13998681929690993,-0.2,-0.2,0.0,0.0,0.0,2.141e-09,4.9899899799498555e-12
1669988541.0128913,10.0,-0.17994252271763317,-0.2000847684217485,0.13948117453225956,-0.18000000000000002,-0.2,0.0,1.0,0.0,2.068e-09,1.8973665961010338e-12
1669988543.0953116,10.0,-0.1600580368294685,-0.19989176587411156,0.1396703293938934,-0.16000000000000003,-0.2,0.0,2.0,0.0,2.039e-09,9.4868329805053e-13
1669988545.324448,10.0,-0.13999074722015675,-0.2000827272032336,0.13960222283284124,-0.14000000000000004,-0.2,0.0,3.0,0.0,2.02e-09,0.0
1669988547.4312568,10.0,-0.11992209989680105,-0.20008748891606426,0.1395559264043001,-0.12000000000000005,-0.2,0.0,4.0,0.0,2.01e-09,0.0
1669988549.5496976,10.0,-0.09996613066798145,-0.199985295136686,0.13961457678977324,-0.10000000000000006,-0.2,0.0,5.0,0.0,2.0020000000000003e-09,1.2649110640673212e-12
1669988551.662917,10.0,-0.07999474312108867,-0.20000550412032925,0.13960854857495497,-0.08000000000000007,-0.2,0.0,6.0,0.0,2.0000000000000005e-09,1.3078873860004176e-25
1669988553.683121,10.0,-0.06006735348923395,-0.19996960543746073,0.1396231020779683,-0.06000000000000008,-0.2,0.0,7.0,0.0,2.0000000000000005e-09,1.3078873860004176e-25
1669988555.867731,10.0,-0.040029573396387144,-0.2000507202286499,0.13959946638054033,-0.04000000000000009,-0.2,0.0,8.0,0.0,2.0000000000000005e-09,1.3078873860004176e-25
1669988557.9205213,10.0,-0.02000857433906514,-0.20003610680503708,0.1396137279991369,-0.0200000000000001,-0.2,0.0,9.0,0.0,1.99e-09,0.0
1669988560.1137586,10.0,-4.4226308356487554e-05,-0.20002609240985314,0.13963951198106594,-1.1102230246251565e-16,-0.2,0.0,10.0,0.0,1.9800000000000006e-09,1.3078873860004176e-25
1669988562.2438054,10.0,0.01997728645761164,-0.2000279710695877,0.13964699227684185,0.01999999999999988,-0.2,0.0,11.0,0.0,1.96e-09,0.0
1669988564.2869496,10.0,0.03994208956408728,-0.19997746374086595,0.13963843431788953,0.03999999999999987,-0.2,0.0,12.0,0.0,1.95e-09,0.0
1669988566.5628688,10.0,0.06014006866615383,-0.20007263122477748,0.1395764170048021,0.05999999999999989,-0.2,0.0,13.0,0.0,1.921e-09,9.4868329805053e-13
1669988568.634134,10.0,0.07992558168083745,-0.19996706362774125,0.13964163697486398,0.07999999999999985,-0.2,0.0,14.0,0.0,1.9029999999999997e-09,1.449137674618909e-12
1669988570.8006656,10.0,0.09999573924869452,-0.2000345440436258,0.1395771043589824,0.09999999999999981,-0.2,0.0,15.0,0.0,1.89e-09,0.0
1669988572.8782578,10.0,0.11998671363152606,-0.20004228758686426,0.13962585800062094,0.11999999999999983,-0.2,0.0,16.0,0.0,1.868e-09,1.2649110640673472e-12
1669988575.1233654,10.0,0.14008175089911779,-0.2000903470361331,0.13956144162050582,0.13999999999999985,-0.2,0.0,17.0,0.0,1.8399999999999998e-09,6.539436930002088e-26
1669988577.2389483,10.0,0.15996833588147708,-0.2001228379436128,0.1395653942517051,0.1599999999999998,-0.2,0.0,18.0,0.0,1.8199999999999997e-09,6.539436930002088e-26
1669988579.3352346,10.0,0.1799611937550022,-0.19999240982216487,0.13965905421460084,0.17999999999999977,-0.2,0.0,19.0,0.0,1.8e-09,0.0
1669988581.4843674,10.0,0.19997036275343005,-0.2001611802838093,0.1395628540363929,0.1999999999999998,-0.2,0.0,20.0,0.0,1.78e-09,0.0
1669988587.4183252,10.0,-0.19995121415486367,-0.1792903745858883,0.1409197505042291,-0.2,-0.18000000000000002,0.0,0.0,1.0,1.89e-09,0.0
1669988589.533614,10.0,-0.1799824501164503,-0.18005574736736796,0.1395372266361295,-0.18000000000000002,-0.18000000000000002,0.0,1.0,1.0,1.9099999999999994e-09,1.3078873860004176e-25
1669988591.5972362,10.0,-0.16008152682721732,-0.18014271458587844,0.13955040526025952,-0.16000000000000003,-0.18000000000000002,0.0,2.0,1.0,1.92e-09,0.0
1669988593.6684399,10.0,-0.13993010605896655,-0.17993095637213108,0.1396124136763321,-0.14000000000000004,-0.18000000000000002,0.0,3.0,1.0,1.9300000000000006e-09,1.3078873860004176e-25
1669988595.8932912,10.0,-0.11995501868894148,-0.180058159526571,0.13957013645587407,-0.12000000000000005,-0.18000000000000002,0.0,4.0,1.0,1.9389999999999996e-09,9.486832980504908e-13
1669988597.911834,10.0,-0.09995561829639919,-0.18009414179532457,0.13957778500082907,-0.10000000000000006,-0.18000000000000002,0.0,5.0,1.0,1.95e-09,0.0
1669988600.0385635,10.0,-0.08001137345359942,-0.17999794267376995,0.13956697386476774,-0.08000000000000007,-0.18000000000000002,0.0,6.0,1.0,1.9760000000000006e-09,1.5491933384829934e-12
1669988602.1617045,10.0,-0.06008092635148179,-0.17993667748770537,0.1396745376336569,-0.06000000000000008,-0.18000000000000002,0.0,7.0,1.0,1.9800000000000006e-09,1.3078873860004176e-25
1669988604.281276,10.0,-0.04008485247336814,-0.1802029581491862,0.13950140765724844,-0.04000000000000009,-0.18000000000000002,0.0,8.0,1.0,1.96e-09,0.0
1669988606.3959014,10.0,-0.019964313652707233,-0.1799936980161183,0.1395752797086281,-0.0200000000000001,-0.18000000000000002,0.0,9.0,1.0,1.95e-09,0.0
1669988608.508768,10.0,-1.7790149858309956e-05,-0.18009731507488735,0.13961837523166482,-1.1102230246251565e-16,-0.18000000000000002,0.0,10.0,1.0,1.95e-09,0.0
1669988610.6316614,10.0,0.01999692620527159,-0.18002527127376006,0.13960915280073377,0.01999999999999988,-0.18000000000000002,0.0,11.0,1.0,1.94e-09,0.0
1669988612.744967,10.0,0.04001260576263409,-0.17999910116567358,0.13959944410493186,0.03999999999999987,-0.18000000000000002,0.0,12.0,1.0,1.921e-09,9.4868329805053e-13
1669988614.8201737,10.0,0.06007977495816262,-0.18009876137189068,0.13955568265335627,0.05999999999999989,-0.18000000000000002,0.0,13.0,1.0,1.9e-09,0.0
1669988616.9036682,10.0,0.07994710325646322,-0.17998515369987528,0.13957652872103665,0.07999999999999985,-0.18000000000000002,0.0,14.0,1.0,1.88e-09,0.0
1669988619.0173588,10.0,0.10006951664439,-0.18009235378018396,0.13953895200215005,0.09999999999999981,-0.18000000000000002,0.0,15.0,1.0,1.865e-09,1.581138830084184e-12
1669988621.1401813,10.0,0.11990310628370225,-0.18005879307614953,0.1395651121899139,0.11999999999999983,-0.18000000000000002,0.0,16.0,1.0,1.8419999999999998e-09,1.2649110640673472e-12
1669988623.1532118,10.0,0.14006427650033892,-0.18015773872720575,0.1395684210420473,0.13999999999999985,-0.18000000000000002,0.0,17.0,1.0,1.8199999999999997e-09,6.539436930002088e-26
1669988625.3507366,10.0,0.15993863559051413,-0.17997793372751203,0.13957811824625804,0.1599999999999998,-0.18000000000000002,0.0,18.0,1.0,1.796e-09,1.5491933384829613e-12
1669988627.399952,10.0,0.1799871209290445,-0.1801724743493291,0.13951659996871235,0.17999999999999977,-0.18000000000000002,0.0,19.0,1.0,1.7699999999999999e-09,6.539436930002088e-26
1669988629.4363596,10.0,0.1999511550237476,-0.17995459903132077,0.13962828345578993,0.1999999999999998,-0.18000000000000002,0.0,20.0,1.0,1.7499999999999997e-09,6.539436930002088e-26
