# Time (s)	Wavelength (nm)	Power (W)	Std_dev_power (W)
1682608988.7773361	200	2.4353e-05	4.582575694956573e-09
1682609009.811174	210	2.4464e-05	4.898979485567139e-09
1682609030.847555	220	1.1863000000000001e-05	4.582575694955796e-09
1682609051.880063	230	8.537e-06	4.5825756949557955e-09
1682609072.915159	240	7.95e-06	0.0
1682609093.9499185	250	7.41e-06	0.0
1682609114.9868045	260	6.7e-06	0.0
1682609136.0190947	270	7.387e-06	4.582575694956184e-09
1682609157.0582461	280	6.519000000000001e-06	2.999999999999971e-09
1682609178.088195	290	5.99e-06	0.0
1682609199.1238527	300	5.55e-06	0.0
1682609220.1618898	310	5.381e-06	2.999999999999971e-09
1682609241.197205	320	5.29e-06	0.0
1682609262.2313588	330	5.230000000000001e-06	8.470329472543003e-22
1682609283.2656524	340	5.13e-06	0.0
1682609304.301182	350	4.99e-06	0.0
1682609325.337265	360	5.04e-06	0.0
1682609346.3666835	370	4.95e-06	0.0
1682609367.4006615	380	4.71e-06	0.0
1682609388.436211	390	4.527e-06	4.5825756949557955e-09
1682609409.4699554	400	4.37e-06	0.0
1682609430.5061736	410	4.25e-06	0.0
1682609451.534599	420	4.170000000000001e-06	8.470329472543003e-22
1682609472.567019	430	4.130000000000001e-06	8.470329472543003e-22
1682609493.600187	440	4.089999999999999e-06	8.470329472543003e-22
1682609514.6362543	450	4.08e-06	0.0
1682609535.6723077	460	4.06e-06	0.0
1682609556.7078538	470	4.089999999999999e-06	8.470329472543003e-22
1682609577.739488	480	4.08e-06	0.0
1682609598.776572	490	4.089999999999999e-06	8.470329472543003e-22
1682609619.8075826	500	4.130000000000001e-06	8.470329472543003e-22
1682609640.8394365	510	4.158000000000001e-06	3.999999999999961e-09
1682609661.872686	520	4.19e-06	0.0
1682609682.905961	530	4.219999999999999e-06	8.470329472543003e-22
1682609703.9407065	540	4.25e-06	0.0
1682609724.9738805	550	4.272e-06	3.999999999999962e-09
1682609746.003486	560	4.300000000000001e-06	8.470329472543003e-22
1682609767.0350316	570	4.33e-06	0.0
1682609788.066862	580	4.349999999999999e-06	8.470329472543003e-22
1682609809.102101	590	4.36e-06	0.0
1682609830.137361	600	4.37e-06	0.0
1682609851.1714575	610	4.36e-06	0.0
1682609872.2052612	620	4.36e-06	0.0
1682609893.2389867	630	4.340000000000001e-06	8.470329472543003e-22
1682609914.271582	640	4.3219999999999994e-06	3.999999999999961e-09
1682609935.3019686	650	4.286e-06	4.898979485566309e-09
1682609956.3380163	660	4.24e-06	0.0
1682609977.3732717	670	4.19e-06	0.0
1682609998.4070032	680	4.139999999999999e-06	8.470329472543003e-22
1682610019.4340487	690	4.07e-06	0.0
1682610040.4688327	700	3.99e-06	0.0
1682610061.503691	710	3.9e-06	0.0
1682610082.5379386	720	3.7999999999999996e-06	4.235164736271502e-22
1682610103.5739384	730	3.6899999999999994e-06	4.235164736271502e-22
1682610124.608109	740	3.5499999999999995e-06	4.235164736271502e-22
1682610145.6418345	750	3.4e-06	0.0
1682610166.6765583	760	3.23e-06	0.0
1682610187.7116187	770	3.03e-06	0.0
1682610208.745648	780	2.84e-06	0.0
1682610229.7797372	790	2.6199999999999995e-06	4.235164736271502e-22
1682610250.8131666	800	2.4e-06	0.0
1682610271.8435183	810	2.19e-06	0.0
1682610292.874392	820	2.0000000000000003e-06	4.235164736271502e-22
1682610313.9052398	830	1.83e-06	0.0
1682610334.9371293	840	1.6899999999999997e-06	2.117582368135751e-22
1682610355.9728563	850	1.5699999999999998e-06	2.117582368135751e-22
1682610377.0055234	860	1.4899999999999997e-06	2.117582368135751e-22
1682610398.0346267	870	1.42e-06	0.0
1682610419.0612028	880	1.37e-06	0.0
1682610440.0958107	890	1.3500000000000002e-06	2.117582368135751e-22
1682610461.1251006	900	1.3400000000000003e-06	2.117582368135751e-22
1682610482.160115	910	1.3500000000000002e-06	2.117582368135751e-22
1682610503.1939588	920	1.3600000000000001e-06	2.117582368135751e-22
1682610524.2232184	930	1.39e-06	0.0
1682610545.2572958	940	1.432e-06	3.999999999999961e-09
1682610566.2916777	950	1.4799999999999998e-06	2.117582368135751e-22
1682610587.3231628	960	1.53e-06	0.0
1682610608.3571494	970	1.6e-06	0.0
1682610629.3883789	980	1.6899999999999997e-06	2.117582368135751e-22
1682610650.4223437	990	1.7900000000000002e-06	2.117582368135751e-22
1682610671.458538	1000	1.89e-06	0.0
1682610692.4899292	1010	2.01e-06	0.0
1682610713.5253649	1020	2.1429999999999996e-06	4.58257569495599e-09
1682610734.5594492	1030	2.3010000000000005e-06	2.9999999999999714e-09
1682610755.590079	1040	2.489e-06	2.9999999999999714e-09
1682610776.6238356	1050	2.721e-06	3.0000000000000984e-09
1682610797.6545138	1060	3.0329999999999996e-06	4.58257569495599e-09
1682610818.6859412	1070	3.358e-06	3.999999999999961e-09
1682610839.720778	1080	3.7130000000000007e-06	6.4031242374327875e-09
1682610860.7571082	1090	4.127000000000001e-06	4.582575694955796e-09
1682610881.7916687	1100	4.647999999999999e-06	7.483314773548173e-09
