# Robotarm 2D scan with the following settings:
# scan_size=0.3, 
# scan_step=0.02, 
# n_meas=10.0, 
# nudge=0.0 
n_meas,xreal,yreal,zreal,x,y,z,col,row,power,err_power
10.0,-0.020038691786900653,-0.20005385521603397,0.13896622528070685,-0.01999999999999974,-0.1999999999999999,0.0,21.0,2.0,1.166e-09,2.0976176963403235e-12
10.0,-2.9771448563004066e-05,-0.20002707632363187,0.1390819229779377,2.7755575615628914e-16,-0.1999999999999999,0.0,22.0,2.0,1.107e-09,2.4698178070457144e-12
10.0,0.019987655284134084,-0.20008542475306068,0.13918522014954104,0.020000000000000295,-0.1999999999999999,0.0,23.0,2.0,1.1400000000000002e-09,6.539436930002088e-26
10.0,0.04002030777574277,-0.1999812069864511,0.13926634949482913,0.04000000000000031,-0.1999999999999999,0.0,24.0,2.0,1.1e-09,0.0
10.0,0.059908549858399204,-0.20012246337997408,0.1393163468239899,0.06000000000000033,-0.1999999999999999,0.0,25.0,2.0,1.1159999999999999e-09,1.5491933384829613e-12
10.0,0.08004861934014716,-0.20001335853884916,0.13943115470651885,0.08000000000000035,-0.1999999999999999,0.0,26.0,2.0,1.054e-09,1.5491933384829613e-12
10.0,0.09991654649149846,-0.20010265171857744,0.1394922544971724,0.10000000000000037,-0.1999999999999999,0.0,27.0,2.0,1.03e-09,0.0
10.0,0.1200308276593932,-0.20009330262617248,0.1395662711737265,0.12000000000000038,-0.1999999999999999,0.0,28.0,2.0,9.920000000000003e-10,1.2649110640673472e-12
10.0,0.1400576995678493,-0.20016149618318307,0.13960391263061572,0.1400000000000004,-0.1999999999999999,0.0,29.0,2.0,9.430000000000002e-10,1.4491376746189388e-12
10.0,0.16003297750611667,-0.20014383809701736,0.13964630236602255,0.16000000000000042,-0.1999999999999999,0.0,30.0,2.0,9.5e-10,0.0
10.0,0.1800228240526781,-0.2000565487658686,0.13972503588075474,0.18000000000000044,-0.1999999999999999,0.0,0.0,3.0,9.729999999999998e-10,1.4491376746189388e-12
10.0,0.200007049863289,-0.20017695421808912,0.13977407322844576,0.20000000000000046,-0.1999999999999999,0.0,1.0,3.0,9.32e-10,1.2649110640673604e-12
10.0,0.21988387748634758,-0.20003522566282778,0.13988710186845682,0.22000000000000047,-0.1999999999999999,0.0,2.0,3.0,8.549999999999998e-10,2.1213203435596496e-12
10.0,-0.23996694427048676,-0.17782828029324943,0.13797497273375775,-0.23999999999999994,-0.17999999999999988,0.0,3.0,3.0,9.149999999999999e-10,1.5811388300842004e-12
10.0,-0.21993913132732185,-0.18028261399330875,0.13796049132211602,-0.21999999999999992,-0.17999999999999988,0.0,4.0,3.0,9.37e-10,1.4491376746189536e-12
10.0,-0.20001506351850698,-0.18005301117621075,0.13799138974589054,-0.1999999999999999,-0.17999999999999988,0.0,5.0,3.0,9.98e-10,1.2649110640673472e-12
10.0,-0.17990421771816442,-0.18007979100900612,0.1380544763976403,-0.17999999999999988,-0.17999999999999988,0.0,6.0,3.0,1.04e-09,0.0
10.0,-0.16003493736532967,-0.18012364453301044,0.13811034584434956,-0.15999999999999986,-0.17999999999999988,0.0,7.0,3.0,1.0690000000000001e-09,9.486832980505104e-13
10.0,-0.1399958647740528,-0.1800159828142256,0.1381748358811829,-0.13999999999999985,-0.17999999999999988,0.0,8.0,3.0,1.113e-09,1.4491376746189388e-12
10.0,-0.1199487058874461,-0.18010381227927552,0.1382306798133971,-0.11999999999999983,-0.17999999999999988,0.0,9.0,3.0,1.1e-09,0.0
10.0,-0.10000360767234147,-0.18000219070329354,0.1383622472253258,-0.09999999999999981,-0.17999999999999988,0.0,10.0,3.0,1.11e-09,0.0
10.0,-0.08002576898109183,-0.18015950174502954,0.1383866300861773,-0.0799999999999998,-0.17999999999999988,0.0,11.0,3.0,1.138e-09,1.2649110640673472e-12
10.0,-0.05997272657079319,-0.1801527208396988,0.13843099960369443,-0.059999999999999776,-0.17999999999999988,0.0,12.0,3.0,1.16e-09,0.0
10.0,-0.04001660795740708,-0.18007674153782643,0.13854559683108042,-0.03999999999999976,-0.17999999999999988,0.0,13.0,3.0,1.1679999999999999e-09,1.2649110640673733e-12
10.0,-0.019970847729227928,-0.18006771646787934,0.13859935465560824,-0.01999999999999974,-0.17999999999999988,0.0,14.0,3.0,1.222e-09,1.2649110640673733e-12
10.0,-9.904470269814225e-06,-0.18008236985856996,0.1387450832521625,2.7755575615628914e-16,-0.17999999999999988,0.0,15.0,3.0,1.2100000000000002e-09,6.539436930002088e-26
10.0,0.020055802717431973,-0.18012938816055796,0.13887424274786148,0.020000000000000295,-0.17999999999999988,0.0,16.0,3.0,1.183e-09,1.4491376746189388e-12
10.0,0.03997480722424039,-0.180070770585758,0.13901961628465348,0.04000000000000031,-0.17999999999999988,0.0,17.0,3.0,1.1859999999999998e-09,1.5491933384829613e-12
10.0,0.059894680850053325,-0.1801493410972131,0.1390970489350104,0.06000000000000033,-0.17999999999999988,0.0,18.0,3.0,1.16e-09,0.0
10.0,0.08009672770857022,-0.18008888058884287,0.13919164565012704,0.08000000000000035,-0.17999999999999988,0.0,19.0,3.0,1.1199999999999999e-09,6.539436930002088e-26
10.0,0.0999702417237009,-0.1801420689688364,0.13923520521708826,0.10000000000000037,-0.17999999999999988,0.0,20.0,3.0,1.09e-09,0.0
10.0,0.12012978109155402,-0.18015510019946235,0.13933326893922482,0.12000000000000038,-0.17999999999999988,0.0,21.0,3.0,1.0700000000000002e-09,6.539436930002088e-26
10.0,0.1400725188335351,-0.18019598545700627,0.13942277677331943,0.1400000000000004,-0.17999999999999988,0.0,22.0,3.0,1.0409999999999998e-09,9.4868329805053e-13
10.0,0.16001325039145825,-0.18011627608093334,0.13955667182814746,0.16000000000000042,-0.17999999999999988,0.0,23.0,3.0,1.0000000000000003e-09,6.539436930002088e-26
10.0,0.18003559317955603,-0.18017633149169004,0.13965125143871077,0.18000000000000044,-0.17999999999999988,0.0,24.0,3.0,9.4e-10,0.0
10.0,0.1998840356720683,-0.18014364217810958,0.13976783025956707,0.20000000000000046,-0.17999999999999988,0.0,25.0,3.0,9.5e-10,0.0
10.0,0.21998334525034036,-0.18019486236120036,0.13985520884006764,0.22000000000000047,-0.17999999999999988,0.0,26.0,3.0,9.199999999999999e-10,3.269718465001044e-26
10.0,0.24010647837645305,-0.1802262997788553,0.14000605416301282,0.2400000000000005,-0.17999999999999988,0.0,27.0,3.0,8.600000000000001e-10,3.269718465001044e-26
10.0,-0.2399642157467159,-0.1566284414177041,0.13696910172556803,-0.23999999999999994,-0.15999999999999986,0.0,28.0,3.0,9.74e-10,2.0976176963403114e-12
10.0,-0.21995430557801104,-0.16026136900009458,0.136984836106259,-0.21999999999999992,-0.15999999999999986,0.0,29.0,3.0,9.709999999999999e-10,9.486832980505104e-13
